year,depth,mag,magType,net,id,updated,place,type,status,locationSource,magSource,,,,
1921,15,7,mw,iscgem,iscgem912199,2015-05-13T18:52:41.000Z,"southwestern Ryukyu Islands, Japan",earthquake,automatic,iscgem,iscgem,,,,
1921,15,7.6,mw,iscgem,iscgem912309,2015-05-13T18:52:41.000Z,"south of Java, Indonesia",earthquake,automatic,iscgem,iscgem,,,,
1921,35,7.1,mw,iscgem,iscgem912341,2015-05-13T18:52:41.000Z,Santa Cruz Islands,earthquake,automatic,iscgem,iscgem,,,,
1921,15,7.4,mw,iscgem,iscgem912362,2015-05-13T18:52:41.000Z,Philippine Islands region,earthquake,automatic,iscgem,iscgem,,,,
1921,240,7.8,mw,iscgem,iscgem912367,2015-05-13T18:52:41.000Z,"Hindu Kush region, Afghanistan",earthquake,automatic,iscgem,iscgem,,,,
1921,540,7.3,mw,iscgem,iscgem912389,2015-05-13T18:52:41.000Z,northern Peru,earthquake,automatic,iscgem,iscgem,,,,
1922,475,7.9,mw,iscgem,iscgem911801,2015-05-13T18:52:41.000Z,northern Peru,earthquake,automatic,iscgem,iscgem,,,,
1922,15,7.3,mw,iscgem,iscgem911811,2018-01-11T20:17:21.250Z,off the coast of Northern California,earthquake,automatic,iscgem,iscgem,,,,
1922,35,7,mw,iscgem,iscgem911893,2015-05-13T18:52:41.000Z,"Sumbawa region, Indonesia",earthquake,automatic,iscgem,iscgem,,,,
1922,20,7.1,mw,iscgem,iscgem911999,2015-05-13T18:52:41.000Z,Taiwan,earthquake,automatic,iscgem,iscgem,,,,
1922,15,7,mw,iscgem,iscgem912041,2015-05-13T18:52:41.000Z,Taiwan,earthquake,automatic,iscgem,iscgem,,,,
1922,25,7,mw,iscgem,iscgem912057,2015-05-13T18:52:41.000Z,"offshore Atacama, Chile",earthquake,automatic,iscgem,iscgem,,,,
1922,70,8.5,mw,official,official19221111043251_30,2018-02-14T20:20:38.747Z,"Atacama, Chile",earthquake,automatic,iscgem,official,,,,
1923,35,7.2,mw,iscgem,iscgem911270,2015-05-13T18:52:41.000Z,"near the east coast of the Kamchatka Peninsula, Russia",earthquake,automatic,iscgem,iscgem,,,,
1923,15,8.4,mw,official,official19230203160150_30,2016-11-07T23:05:31.396Z,"near the east coast of the Kamchatka Peninsula, Russia",earthquake,automatic,iscgem,official,,,,
1923,15,7.3,mw,iscgem,iscgem911296,2015-05-13T18:52:41.000Z,"off the east coast of the Kamchatka Peninsula, Russia",earthquake,automatic,iscgem,iscgem,,,,
